ts,mid,spreadBp,imb,features
2025-09-30T07:45:34.934531+00:00,113707.25,0.08794513982177916,0.0,113707.25;0.08794513982177916;0.0;113707.25;0.0
2025-09-30T07:45:35.372244+00:00,113707.625,0.021986212446175005,0.0,113707.625;0.021986212446175005;0.0;113707.62500000001;1.4551915228366852e-11
2025-09-30T07:45:35.935198+00:00,113707.625,0.021986212446175005,-0.946104812127663,113707.625;0.021986212446175005;-0.946104812127663;113707.50673689849;0.08362464104245385
2025-09-30T07:45:38.188239+00:00,113707.375,0.021986260785635054,0.0,113707.375;0.021986260785635054;0.0;113707.37499999999;1.4551915228366852e-11
2025-09-30T07:45:38.689564+00:00,113707.375,0.021986260785635054,-0.9367681498829039,113707.375;0.021986260785635054;-0.9367681498829039;113707.25790398126;0.0827993889042768
2025-09-30T07:45:39.490318+00:00,113707.375,0.021986260785635054,-0.9409190371991247,113707.375;0.021986260785635054;-0.9409190371991247;113707.25738512035;0.08316627896982298
2025-09-30T07:45:40.194831+00:00,113707.375,0.021986260785635054,-0.9461048228857765,113707.375;0.021986260785635054;-0.9461048228857765;113707.25673689712;0.0836246420096911
2025-09-30T07:45:42.451508+00:00,113707.125,0.021986309125307673,0.7435597817283438,113707.125;0.021986309125307673;0.7435597817283438;113707.21794497271;0.0657220204817464
2025-09-30T07:45:43.192789+00:00,113707.125,0.021986309125307673,-0.5345929468648614,113707.125;0.021986309125307673;-0.5345929468648614;113707.05817588164;0.04725178723871849
2025-09-30T07:45:43.943800+00:00,113707.125,0.021986309125307673,-0.8425480901271429,113707.125;0.021986309125307673;-0.8425480901271429;113707.01968148875;0.07447143349228412
2025-09-30T07:45:45.383487+00:00,113707.125,0.021986309125307673,-0.8332374413377036,113707.125;0.021986309125307673;-0.8332374413377036;113707.02084531981;0.07364848065196693
2025-09-30T07:45:47.701049+00:00,113707.125,0.021986309125307673,-0.8675990863961643,113707.125;0.021986309125307673;-0.8675990863961643;113707.0165501142;0.07668564966546322
2025-09-30T07:45:48.449219+00:00,113707.125,0.021986309125307673,-0.9890348448362672,113707.125;0.021986309125307673;-0.9890348448362672;113707.0013706444;0.08741915569806252
2025-09-30T07:45:49.319373+00:00,113707.125,0.021986309125307673,-0.9501059411875995,113707.125;0.021986309125307673;-0.9501059411875995;113707.00623675734;0.08397829423991247
2025-09-30T07:45:50.701969+00:00,113707.125,0.021986309125307673,-0.9501059411875995,113707.125;0.021986309125307673;-0.9501059411875995;113707.00623675734;0.08397829423991247
2025-09-30T07:45:50.702674+00:00,113707.125,0.021986309125307673,-0.7920036262024621,113707.125;0.021986309125307673;-0.7920036262024621;113707.02599954672;0.07000389185453759
2025-09-30T07:45:51.451834+00:00,113707.125,0.021986309125307673,-0.9501059411875995,113707.125;0.021986309125307673;-0.9501059411875995;113707.00623675734;0.08397829423991247
2025-09-30T07:45:53.456065+00:00,113704.5,0.43973633409407725,0.05827666513165759,113704.5;0.43973633409407725;0.05827666513165759;113704.64569166281;0.10301956273425616
2025-09-30T07:45:53.704411+00:00,113705.875,0.02198655082685921,-0.8948368267520254,113705.875;0.02198655082685921;-0.8948368267520254;113705.76314539666;0.07909314852825816
2025-09-30T07:45:54.455995+00:00,113705.875,0.02198655082685921,-0.9347629489777918,113705.875;0.02198655082685921;-0.9347629489777918;113705.75815463137;0.08262215250564786
2025-09-30T07:45:57.709017+00:00,113705.875,0.02198655082685921,-0.8495473631043409,113705.875;0.02198655082685921;-0.8495473631043409;113705.76880657961;0.07509008767509207
2025-09-30T07:46:03.979420+00:00,113705.875,0.02198655082685921,-0.8495473631043409,113705.875;0.02198655082685921;-0.8495473631043409;113705.76880657961;0.07509008767509207
2025-09-30T07:46:03.985013+00:00,113705.875,0.02198655082685921,-0.8495473631043409,113705.875;0.02198655082685921;-0.8495473631043409;113705.76880657961;0.07509008767509207
2025-09-30T07:46:03.990064+00:00,113705.875,0.02198655082685921,-0.8288384525346318,113705.875;0.02198655082685921;-0.8288384525346318;113705.77139519341;0.07325966130125912
2025-09-30T07:46:04.717706+00:00,113705.875,0.02198655082685921,-0.8304810297778609,113705.875;0.02198655082685921;-0.8304810297778609;113705.77118987127;0.07340484597854299
2025-09-30T07:46:05.485070+00:00,113705.875,0.02198655082685921,-0.8304810297778609,113705.875;0.02198655082685921;-0.8304810297778609;113705.77118987127;0.07340484597854299
2025-09-30T07:46:05.485859+00:00,113705.875,0.02198655082685921,-0.8304810297778609,113705.875;0.02198655082685921;-0.8304810297778609;113705.77118987127;0.07340484597854299
2025-09-30T07:46:05.487416+00:00,113705.875,0.02198655082685921,-0.8304810297778609,113705.875;0.02198655082685921;-0.8304810297778609;113705.77118987127;0.07340484597854299
2025-09-30T07:46:05.968514+00:00,113712.125,1.1212524609842618,0.5052415081118403,113712.125;1.1212524609842618;0.5052415081118403;113715.34591461421;2.277530565332323
2025-09-30T07:46:06.318978+00:00,113710.125,0.6815576009612161,0.5778274339456737,113710.125;0.6815576009612161;0.5778274339456737;113712.36408130653;1.5832695754743602
2025-09-30T07:46:06.507324+00:00,113713.875,0.021985004028751986,-0.5301898276701488,113713.875;0.021985004028751986;-0.5301898276701488;113713.80872627154;0.04686260280739907
2025-09-30T07:46:07.221621+00:00,113713.875,0.021985004028751986,0.619441691460562,113713.875;0.021985004028751986;0.619441691460562;113713.95243021144;0.05475142758086846
2025-09-30T07:46:07.971056+00:00,113713.875,0.021985004028751986,0.6967165775567703,113713.875;0.021985004028751986;0.6967165775567703;113713.96208957219;0.06158162706557832
2025-09-30T07:46:08.221033+00:00,113725.125,0.021982829212102428,0.0,113725.125;0.021982829212102428;0.0;113725.125;0.0
2025-09-30T07:46:08.470557+00:00,113729.375,0.021982007726675714,-0.9813836621295043,113729.375;0.021982007726675714;-0.9813836621295043;113729.25232704224;0.08674288030108245
2025-09-30T07:46:08.721409+00:00,113740.625,0.021979833502761215,0.0,113740.625;0.021979833502761215;0.0;113740.625;0.0
2025-09-30T07:46:08.971826+00:00,113752.125,0.021977611407259425,-0.5792586024263261,113752.125;0.021977611407259425;-0.5792586024263261;113752.05259267469;0.05119971073267069
2025-09-30T07:46:09.724004+00:00,113752.125,0.021977611407259425,-0.2713157678713394,113752.125;0.021977611407259425;-0.2713157678713394;113752.09108552901;0.02398115241521177
2025-09-30T07:46:10.474474+00:00,113752.125,0.021977611407259425,-0.15121765452488745,113752.125;0.021977611407259425;-0.15121765452488745;113752.10609779319;0.013365878613312746
2025-09-30T07:46:10.976597+00:00,113772.75,1.6260484166902882,-0.8388304277098666,113772.75;1.6260484166902882;-0.8388304277098666;113764.9908185437;5.486569824210649
2025-09-30T07:46:11.225959+00:00,113770.625,0.021974037674487596,0.0,113770.625;0.021974037674487596;0.0;113770.62500000001;1.4551915228366852e-11
2025-09-30T07:46:12.053360+00:00,113770.625,0.021974037674487596,-0.39744379014736275,113770.625;0.021974037674487596;-0.39744379014736275;113770.57531952624;0.0351293998904812
2025-09-30T07:46:14.478314+00:00,113770.625,0.021974037674487596,-0.34910087022825764,113770.625;0.021974037674487596;-0.34910087022825764;113770.58136239123;0.03085644907927708
2025-09-30T07:46:16.481620+00:00,113770.625,0.021974037674487596,-0.33670937413846475,113770.625;0.021974037674487596;-0.33670937413846475;113770.58291132824;0.029761185214066573
2025-09-30T07:46:17.230716+00:00,113770.625,0.021974037674487596,0.5040190116171075,113770.625;0.021974037674487596;0.5040190116171075;113770.68800237645;0.04454940762104483
2025-09-30T07:46:19.236234+00:00,113770.625,0.021974037674487596,0.5040190116171075,113770.625;0.021974037674487596;0.5040190116171075;113770.68800237645;0.04454940762104483
2025-09-30T07:46:19.245163+00:00,113770.625,0.021974037674487596,0.5040190116171075,113770.625;0.021974037674487596;0.5040190116171075;113770.68800237645;0.04454940762104483
2025-09-30T07:46:19.249381+00:00,113770.625,0.021974037674487596,0.5040309968964366,113770.625;0.021974037674487596;0.5040309968964366;113770.6880038746;0.04455046697220399
2025-09-30T07:46:20.234284+00:00,113770.625,0.021974037674487596,0.5639041908278364,113770.625;0.021974037674487596;0.5639041908278364;113770.69548802386;0.04984255966576026
2025-09-30T07:46:20.734957+00:00,113770.625,0.021974037674487596,0.5639041908278364,113770.625;0.021974037674487596;0.5639041908278364;113770.69548802386;0.04984255966576026
2025-09-30T07:46:20.985083+00:00,113770.625,0.021974037674487596,0.5040309968964366,113770.625;0.021974037674487596;0.5040309968964366;113770.6880038746;0.04455046697220399
2025-09-30T07:46:21.736206+00:00,113770.625,0.021974037674487596,0.5639041908278364,113770.625;0.021974037674487596;0.5639041908278364;113770.69548802386;0.04984255966576026
2025-09-30T07:46:23.317208+00:00,113770.625,0.021974037674487596,0.5040309968964366,113770.625;0.021974037674487596;0.5040309968964366;113770.6880038746;0.04455046697220399
2025-09-30T07:46:24.740961+00:00,113770.875,0.021973989388760523,-0.7112299465240642,113770.875;0.021973989388760523;-0.7112299465240642;113770.78609625668;0.06286443977627124
2025-09-30T07:46:25.498161+00:00,113770.875,0.021973989388760523,0.41622474880150934,113770.875;0.021973989388760523;0.41622474880150934;113770.9270280936;0.0367894177992006
2025-09-30T07:46:25.740463+00:00,113770.875,0.021973989388760523,0.41622474880150934,113770.875;0.021973989388760523;0.41622474880150934;113770.9270280936;0.0367894177992006
2025-09-30T07:46:25.741835+00:00,113770.875,0.021973989388760523,0.41622474880150934,113770.875;0.021973989388760523;0.41622474880150934;113770.9270280936;0.0367894177992006
2025-09-30T07:46:25.743207+00:00,113770.875,0.021973989388760523,0.41622474880150934,113770.875;0.021973989388760523;0.41622474880150934;113770.9270280936;0.0367894177992006
2025-09-30T07:46:25.990610+00:00,113776.875,0.02197283059496932,0.0,113776.875;0.02197283059496932;0.0;113776.875;0.0
2025-09-30T07:46:26.491421+00:00,113782.125,0.7250699527715798,0.6770271685822364,113782.125;0.7250699527715798;0.6770271685822364;113784.9177370704;1.9747633205496824
2025-09-30T07:46:26.744395+00:00,113784.125,0.02197143054885732,0.0,113784.125;0.02197143054885732;0.0;113784.125;0.0
2025-09-30T07:46:26.992249+00:00,113785.125,0.19774113707745192,0.7169336784100504,113785.125;0.19774113707745192;0.7169336784100504;113785.93155038822;0.570317248882132
2025-09-30T07:46:27.242389+00:00,113808.875,0.021966652424953676,-0.8398552346667911,113808.875;0.021966652424953676;-0.8398552346667911;113808.77001809567;0.07423341645046747
2025-09-30T07:46:27.993294+00:00,113808.875,0.021966652424953676,-0.42303502573753626,113808.875;0.021966652424953676;-0.42303502573753626;113808.8221206218;0.03739136690984922
